ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
28950,1.74,1,7,10.68,3.0,11.0,0.03748458281898349,3.2533333333333334,341,4.3
29100,1.9933333333333334,1,21,10.726666666666667,2.0,11.0,0.03248441614676114,3.493333333333333,342,4.226666666666667
29250,1.78,1,9,10.946666666666667,3.0,11.0,0.027484249474538796,3.58,343,4.226666666666667
29400,2.0733333333333333,1,21,10.513333333333334,2.0,11.0,0.02248408280231645,3.513333333333333,344,4.24
29550,1.7333333333333334,1,6,10.733333333333333,3.0,11.0,0.0174839161300941,3.3666666666666667,345,4.24
29700,1.7466666666666666,1,4,10.84,3.0,11.0,0.012483749457871752,3.4466666666666668,346,4.293333333333333
29850,1.7266666666666666,1,4,10.893333333333333,3.0,11.0,0.0074835827856494066,3.4133333333333336,347,4.3133333333333335
30000,1.6666666666666667,1,3,11.0,11.0,11.0,0.0024834161134270377,3.58,348,4.32
30150,1.74,1,3,11.0,11.0,11.0,-3.333444492490779e-05,3.2133333333333334,349,4.32
30300,2.3333333333333335,1,21,10.6,2.0,11.0,-3.333444492490779e-05,3.3933333333333335,350,4.373333333333333
30450,1.7666666666666666,1,5,10.733333333333333,3.0,11.0,-3.333444492490779e-05,3.4133333333333336,351,4.373333333333333
30600,1.8733333333333333,1,21,10.833333333333334,2.0,11.0,-3.333444492490779e-05,3.4,352,4.426666666666667
30750,1.9333333333333333,1,21,10.78,2.0,11.0,-3.333444492490779e-05,3.62,353,4.426666666666667
30900,1.6533333333333333,1,5,10.893333333333333,3.0,11.0,-3.333444492490779e-05,3.52,354,4.44
31050,1.7733333333333334,1,10,10.84,3.0,11.0,-3.333444492490779e-05,3.2866666666666666,355,4.433333333333334
31200,1.76,1,21,10.886666666666667,2.0,11.0,-3.333444492490779e-05,3.78,356,4.426666666666667
31350,1.8866666666666667,1,21,10.78,2.0,11.0,-3.333444492490779e-05,3.513333333333333,357,4.426666666666667
31500,1.6733333333333333,1,6,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.12,358,4.373333333333333
31650,1.7466666666666666,1,4,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.3866666666666667,359,4.426666666666667
31800,1.7733333333333334,1,5,10.84,3.0,11.0,-3.333444492490779e-05,3.4133333333333336,360,4.48
31950,1.9066666666666667,1,5,10.84,3.0,11.0,-3.333444492490779e-05,3.46,361,4.42
32100,1.7466666666666666,1,4,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.3466666666666667,362,4.42
32250,1.88,1,21,10.94,2.0,11.0,-3.333444492490779e-05,3.3466666666666667,363,4.42
32400,1.86,1,21,10.886666666666667,2.0,11.0,-3.333444492490779e-05,3.3,364,4.42
32550,1.9733333333333334,1,21,10.833333333333334,2.0,11.0,-3.333444492490779e-05,3.7,365,4.406666666666666
32700,1.82,1,5,10.893333333333333,3.0,11.0,-3.333444492490779e-05,3.3133333333333335,366,4.46
32850,1.8333333333333333,1,21,10.94,2.0,11.0,-3.333444492490779e-05,3.6933333333333334,367,4.46
33000,1.88,1,21,10.833333333333334,2.0,11.0,-3.333444492490779e-05,3.36,368,4.46
33150,1.6933333333333334,1,4,10.946666666666667,3.0,11.0,-3.333444492490779e-05,3.526666666666667,369,4.46
33300,1.9133333333333333,1,21,10.78,2.0,11.0,-3.333444492490779e-05,3.3733333333333335,370,4.46
